x, y, theta, stamp, 
1.0228795872535557e-05, -1.1957060451095458e-05, 0.00011755403910891449, 1729888277562043824, 
1.0228795872535557e-05, -1.1957060451095458e-05, 0.0001175540022127536, 1729888277603995606, 
1.0208043931925204e-05, -1.1932807865377981e-05, 0.00011731553531367399, 1729888277654398570, 
7.90457306720782e-06, -9.240777217200957e-06, 9.085105512777248e-05, 1729888277703864203, 
0.003281583311036229, -5.903641431359574e-05, 0.0041709214677333505, 1729888277764498509, 
0.008658908307552338, -7.716021355008706e-05, 0.008429874368717508, 1729888277813580686, 
0.016322938725352287, 0.00017427302373107523, 0.013670313232365467, 1729888277863957959, 
0.025065787136554718, 0.00036560234730131924, 0.021401979304000448, 1729888277911978910, 
0.03593311458826065, 0.0006561062182299793, 0.030143119845474766, 1729888277962057618, 
0.046752266585826874, 0.001075103646144271, 0.03781109815920905, 1729888278003981781, 
0.061839789152145386, 0.001809519249945879, 0.048928161695991554, 1729888278054056995, 
0.07795533537864685, 0.002462823409587145, 0.06242980059134608, 1729888278104957294, 
0.09733953326940536, 0.0037948302924633026, 0.07605857811820656, 1729888278164572184, 
0.11256462335586548, 0.005058480426669121, 0.08825787544190544, 1729888278213768608, 
0.14191925525665283, 0.008019299246370792, 0.11775944587487557, 1729888278312963936, 
0.17003610730171204, 0.011580239981412888, 0.1419706081337799, 1729888278404934924, 
0.20051223039627075, 0.01612948253750801, 0.17125120979977881, 1729888278506031540, 
0.2331763058900833, 0.02282014861702919, 0.24107892850184176, 1729888278615496114, 
0.2624198794364929, 0.030734958127141, 0.3049621798035368, 1729888278713986586, 
0.2886677384376526, 0.03910251334309578, 0.33809489231934986, 1729888278803988464, 
0.31745660305023193, 0.04962527006864548, 0.37749534870645113, 1729888278904054864, 
0.3460620045661926, 0.06117319315671921, 0.4172312173763294, 1729888279004402448, 
0.37653133273124695, 0.07545322179794312, 0.4808050784766298, 1729888279114168631, 
0.40044352412223816, 0.0886201411485672, 0.5353258708585433, 1729888279204047183, 
0.4268307387828827, 0.10477069020271301, 0.5816914078823366, 1729888279304245154, 
