e, e_dot, e_int, stamp, 
-2.356193707418656, 0.0, -0.2120983890267014, 1729887071794041844, 
-2.356193707418656, 0.0, -0.23435870107967974, 1729887071844413608, 
-2.3541943759097164, 0.013476649536091496, -0.2351369969959574, 1729887071893865353, 
-2.338047199954116, 0.1205435165821173, -0.234297173521342, 1729887071944136666, 
-2.321547614506604, 0.2446748749283425, -0.2109722375167261, 1729887071984104266, 
-2.295428230363765, 0.3121817561278752, -0.20828041519119211, 1729887072033976950, 
-2.2440018824380816, 0.4175267896779962, -0.27542252962187436, 1729887072104534272, 
-2.207394830629764, 0.5534415124497256, -0.24706381998884844, 1729887072143834767, 
-2.1556551389928877, 0.6485243308699746, -0.1989172305442838, 1729887072194854691, 
-2.0989238477978525, 0.7227701617655417, -0.21576928203155965, 1729887072244006613, 
-2.035584235848008, 0.8044601733163472, -0.20852789947371966, 1729887072294308978, 
-1.9064665081034047, 0.8919021227771572, -0.28483832321551394, 1729887072385459777, 
-1.772881799248478, 0.9228045575139373, -0.3618780400749514, 1729887072484273446, 
-1.6272175049896074, 0.893730223980601, -0.3686168689451013, 1729887072593852671, 
-1.4927569672072174, 0.8911289037591992, -0.341877309993013, 1729887072693891688, 
-1.3691476412226695, 0.8991052571091749, -0.28637996440252417, 1729887072785235278, 
-1.2245882835268773, 0.857649730682445, -0.28586736013282205, 1729887072903754302, 
-1.1257536892505389, 0.7700875801414074, -0.25930715683681105, 1729887072994382648, 
-1.014083366191473, 0.736205174222607, -0.2136481371203426, 1729887073094260658, 
-0.8911107168910686, 0.7460227823653612, -0.21183789237701897, 1729887073204057550, 
-0.7746289960317192, 0.7536234138343426, -0.189281269976919, 1729887073306156665, 
-0.6986841528625138, 0.6686919036382851, -0.1496488402519736, 1729887073393933201, 
-0.6283541559361527, 0.5228943546564792, -0.13153036480261115, 1729887073493908120, 
-0.5432183725793429, 0.49236240480990023, -0.13093343347237787, 1729887073603958009, 
-0.48828909411554555, 0.44859041778359204, -0.11400658137496164, 1729887073699961287, 
-0.43769217853933995, 0.3612362321402447, -0.09545519825415455, 1729887073798870658, 
-0.39032140227005474, 0.3454804678711285, -0.08299630077576159, 1729887073889119075, 
-0.36816439332820305, 0.24216497255436117, -0.07980630462892269, 1729887073999023912, 
-0.347238708425194, 0.13308601427017153, -0.0795288291509938, 1729887074104892974, 
-0.3262828966823097, 0.14415241684358238, -0.06775067295241323, 1729887074194142229, 
-0.3050202314372399, 0.14931822245605417, -0.06164878643264014, 1729887074293894969, 
-0.286061430045061, 0.12843570618058522, -0.0641788541506502, 1729887074404022326, 
-0.27332293820619746, 0.10167397999059298, -0.05935586030835752, 1729887074499895239, 
-0.25938059613186404, 0.09374015124465725, -0.05181538902654585, 1729887074593876770, 
-0.24828409914515248, 0.0863215741738766, -0.05058194594357611, 1729887074694195163, 
-0.23888674252770947, 0.07173836178505849, -0.04732073623675679, 1729887074784034074, 
-0.22249052027180038, 0.08204423825337487, -0.048656363166679664, 1729887074899883534, 
-0.20957226283160857, 0.09299576357793955, -0.046928423732425166, 1729887074993863973, 
-0.19715432183907566, 0.08680150350277126, -0.04089540111825462, 1729887075094865842, 
-0.1853712025491916, 0.08491936644619459, -0.03757773948376235, 1729887075184260257, 
-0.1695589199792753, 0.0891317953339274, -0.03791295201958415, 1729887075300882978, 
-0.15777107874588747, 0.08745477003559647, -0.03582104573448889, 1729887075393862140, 
-0.14697383638782746, 0.07789197375154105, -0.030669377669615965, 1729887075494868618, 
-0.13581995939409186, 0.06960854830914918, -0.030903315038503784, 1729887075604296404, 
-0.12720271492616408, 0.06371915463414299, -0.028153499495168488, 1729887075700871587, 
-0.12425361722232786, 0.052073428478371785, -0.018149944418088624, 1729887075744893271, 
-0.11253452583425805, 0.04883148506062677, -0.023225888046470425, 1729887075892298549, 
-0.1046932083373111, 0.04990932679694674, -0.029488561088285195, 1729887076003957735, 
-0.10044576862799914, 0.03786314431965642, -0.02219561097384625, 1729887076101906314, 
-0.09688182526940636, 0.027363638273596152, -0.01912557562630783, 1729887076193933811, 
-0.0931307111776647, 0.025659148285962774, -0.018404846448238886, 1729887076292000859, 
-0.08884643623933464, 0.028302245761582287, -0.017651166080971923, 1729887076383827282, 
-0.08497556935888007, 0.026389092505650788, -0.018765846637952985, 1729887076502890415, 
-0.08181154666159429, 0.02229897190286112, -0.017986234519533923, 1729887076594905613, 
-0.07980952026780841, 0.018246697473891776, -0.015648567814657108, 1729887076693264883, 
-0.07813135325675269, 0.012827525747725487, -0.015258695701160905, 1729887076785836270, 
-0.07586982736482462, 0.012482338601730364, -0.016338357428848004, 1729887076902900593, 
-0.07793753302193096, -0.001051288315943661, -0.01616417278834489, 1729887076994910976, 
-0.0776187200475622, -0.006418259895315539, -0.014741069286261715, 1729887077093990585, 
-0.07701117134017466, 0.0033112091267506784, -0.014693926320944961, 1729887077184455058, 
-0.07929700492819691, -0.004122424353730559, -0.016394163464763516, 1729887077304237851, 
-0.08399974027868407, -0.02365808994445201, -0.01685437853753881, 1729887077394864837, 
-0.09024578085233248, -0.038289658595694345, -0.016041241787709288, 1729887077494043191, 
-0.09337936280970549, -0.032450352033078056, -0.016980075228352636, 1729887077585206725, 
-0.10162634434659168, -0.034603773421568534, -0.019961031585985035, 1729887077703974067, 
-0.10430340794494875, -0.032941287567502774, -0.020938480528157073, 1729887077795074846, 
-0.11245229555684677, -0.0372492408464133, -0.020168514897828203, 1729887077894014759, 
-0.12046211173693955, -0.051725818313925385, -0.023486263694812312, 1729887078004016331, 
-0.12189672983015143, -0.02905088114836385, -0.024844396092815524, 1729887078104079158, 
-0.1160730798953562, 0.01655850797671787, -0.022824862080432086, 1729887078195055639, 
-0.11351809798282808, 0.02992802360282586, -0.022274584128612378, 1729887078294195947, 
-0.11152315772032484, 0.01593718717836307, -0.021564573686086712, 1729887078384709706, 
-0.10573656983719992, 0.023392020193588953, -0.023234648951220137, 1729887078504923334, 
-0.10180292602235674, 0.030783521364403155, -0.022247230915202476, 1729887078593890229, 
-0.10538213428338317, 0.0028672818267000827, -0.019763106593175886, 1729887078694393521, 
-0.098138639366673, 0.01021001316749264, -0.021357474924160492, 1729887078803741036, 
-0.09722069897203944, 0.025136103235863762, -0.02100178371515696, 1729887078903893563, 
-0.0978430495365874, 0.000752583065332222, -0.018593727125269965, 1729887078993989082, 
-0.10190173690256987, -0.015760610990395236, -0.018869422535645865, 1729887079094515943, 
-0.10199234025744097, -0.013732906090317814, -0.02116260212806676, 1729887079204396754, 
-0.1128271963091576, -0.03644706560438724, -0.022141554120740196, 1729887079304241869, 
-0.11065635149126951, -0.01862707403201676, -0.015306931498642156, 1729887079345484915, 
-0.12504612754603084, -0.014746148700027557, -0.0220485004142756, 1729887079494026286, 
-0.13085458739445954, -0.05351095723908552, -0.029298258246997118, 1729887079585269611, 
-0.16145582764087507, -0.10697988582576064, -0.029240613443843447, 1729887079704210700, 
-0.1630761035936672, -0.09174592423309406, -0.0317512688326724, 1729887079794440947, 
-0.15829238452123917, 0.010036641272321031, -0.030538966453029323, 1729887079893962741, 
-0.1671325880911585, -0.01619079323603837, -0.03110090137605072, 1729887079985438897, 
-0.17763687762694946, -0.061355209623123214, -0.03548707606928412, 1729887080105589260, 
-0.18257766720997282, -0.047763025713928285, -0.03666738043582663, 1729887080194034212, 
