x, y, theta, stamp, 
-6.225013748917263e-08, 7.276492652863453e-08, -7.152661570867555e-07, 1729887071704024462, 
-6.225013748917263e-08, 7.276492652863453e-08, -7.152661570867555e-07, 1729887071744948653, 
-6.225013748917263e-08, 7.276492652863453e-08, -7.152661570867555e-07, 1729887071794041844, 
-6.225013748917263e-08, 7.276492652863453e-08, -7.152661570867555e-07, 1729887071844413608, 
0.00024952340754680336, 4.0601407818030566e-05, -0.0021045601309467622, 1729887071893865353, 
0.0025947927497327328, -1.5674260794185102e-05, -0.019450841996966003, 1729887071944136666, 
0.0056112478487193584, -1.0132353054359555e-06, -0.0374451494173607, 1729887071984104266, 
0.010603143833577633, -8.229522791225463e-05, -0.066080971417456, 1729887072033976950, 
0.018966753035783768, -0.0009182232897728682, -0.1220458558339768, 1729887072104534272, 
0.02445010095834732, -0.0017437436617910862, -0.16174883552076547, 1729887072143834767, 
0.032745007425546646, -0.003503774758428335, -0.2184006713527051, 1729887072194854691, 
0.0420554094016552, -0.006388047710061073, -0.2810634861602618, 1729887072244006613, 
0.05183522403240204, -0.010124798864126205, -0.35094805935072876, 1729887072294308978, 
0.07175557315349579, -0.01909375563263893, -0.49395839381473455, 1729887072385459777, 
0.09367500245571136, -0.03361467272043228, -0.6450235299985365, 1729887072484273446, 
0.11501157283782959, -0.05289152264595032, -0.8102203246127889, 1729887072593852671, 
0.13164128363132477, -0.07285400480031967, -0.9624408163203719, 1729887072693891688, 
0.14403168857097626, -0.09291192144155502, -1.102056218380417, 1729887072785235278, 
0.15638437867164612, -0.12142932415008545, -1.2672882171438435, 1729887072903754302, 
0.16357727348804474, -0.14565561711788177, -1.3825011207503333, 1729887072994382648, 
0.16767250001430511, -0.1733560413122177, -1.5114732400065791, 1729887073094260658, 
0.16770155727863312, -0.2049335390329361, -1.6527027066208453, 1729887073204057550, 
0.1641305536031723, -0.2342950403690338, -1.785160707554462, 1729887073306156665, 
0.15767239034175873, -0.2603817582130432, -1.874387501857479, 1729887073393933201, 
