x, y, theta, stamp, 
0.009735614992678165, 0.00017110101180151105, 0.05779936448880673, 1729888465902845918, 
0.009735614992678165, 0.00017110101180151105, 0.05779935329769988, 1729888465952746893, 
0.009764937683939934, 0.00016392700490541756, 0.057792218292226395, 1729888466004119080, 
0.012767995707690716, 0.00038101605605334044, 0.05405648222664784, 1729888466063214032, 
0.018147826194763184, 0.0006878540734760463, 0.0575428887315277, 1729888466113576028, 
0.025833789259195328, 0.0011388672282919288, 0.06360250319170035, 1729888466165367211, 
0.03454575315117836, 0.0018656603060662746, 0.06971177443962943, 1729888466209977740, 
0.04438578709959984, 0.0026244609616696835, 0.0763884376032126, 1729888466252878993, 
0.05687054246664047, 0.0037955460138618946, 0.08674520302260513, 1729888466303326217, 
0.07788708806037903, 0.005847292952239513, 0.10095723087657345, 1729888466370606869, 
0.08756236732006073, 0.006856646854430437, 0.1063283165644367, 1729888466401382550, 
0.10683514922857285, 0.009132230654358864, 0.11708311272768986, 1729888466463159671, 
0.12211456894874573, 0.010816632770001888, 0.12762442396987767, 1729888466512728033, 
0.13613976538181305, 0.012701528146862984, 0.13904364828124927, 1729888466559740650, 
0.16397398710250854, 0.016891885548830032, 0.16495856430773514, 1729888466652777376, 
0.19395507872104645, 0.02245394140481949, 0.21992457812137217, 1729888466754864743, 
0.2267918586730957, 0.030699312686920166, 0.28830825495711215, 1729888466863073153, 
0.2561693787574768, 0.039867907762527466, 0.3219879150523521, 1729888466960638076, 
0.2818903625011444, 0.048604149371385574, 0.35148191592234823, 1729888467053477491, 
0.31560325622558594, 0.06135743111371994, 0.39129977994772724, 1729888467172093972, 
0.3415839672088623, 0.07240250706672668, 0.42388250067915323, 1729888467263513913, 
0.3690609335899353, 0.0851873978972435, 0.47483609175719754, 1729888467362398521, 
0.39356791973114014, 0.09842417389154434, 0.5198311022444525, 1729888467454495435, 
0.42478981614112854, 0.11672265827655792, 0.5518147766592039, 1729888467572135620, 
0.44874057173728943, 0.13181550800800323, 0.5799573223695402, 1729888467664537183, 
0.4738326072692871, 0.1487407237291336, 0.6222741617384504, 1729888467763495494, 
0.49559369683265686, 0.164658784866333, 0.6617360643434792, 1729888467853511337, 
0.5244250297546387, 0.1876065731048584, 0.704903563078332, 1729888467973456090, 
0.545238733291626, 0.20562689006328583, 0.7351686501760998, 1729888468064345011, 
0.5677527785301208, 0.22636419534683228, 0.7625744947342412, 1729888468163401204, 
0.5878046154975891, 0.2458600103855133, 0.787650260458771, 1729888468253455548, 
0.6090199947357178, 0.26774460077285767, 0.8217704085199805, 1729888468353212985, 
0.6317797303199768, 0.29250285029411316, 0.8515734006221679, 1729888468463631560, 
0.6514180898666382, 0.31525686383247375, 0.8721220872322153, 1729888468563238093, 
0.6690455079078674, 0.336831271648407, 0.8924522888784955, 1729888468653544085, 
0.6879629492759705, 0.3609963357448578, 0.9145749654520774, 1729888468753509799, 
0.7080072164535522, 0.38764163851737976, 0.9421061140989738, 1729888468865413432, 
0.7256232500076294, 0.4125339388847351, 0.9621809009726686, 1729888468963461125, 
0.7414455413818359, 0.4355284869670868, 0.973921822559494, 1729888469053431443, 
0.7582989931106567, 0.4608757793903351, 0.9871121819121589, 1729888469153429733, 
0.7764667272567749, 0.48891040682792664, 1.0047025169615593, 1729888469262890095, 
0.7926065921783447, 0.514633059501648, 1.0239686624616238, 1729888469363481963, 
0.8068305253982544, 0.5386457443237305, 1.0379376675242635, 1729888469453569353, 
0.8250685334205627, 0.5703189969062805, 1.0492253699925025, 1729888469573357414, 
0.8385490775108337, 0.5944526195526123, 1.0564847202694052, 1729888469663362824, 
0.8534212112426758, 0.621010422706604, 1.069534902705467, 1729888469763412033, 
0.8665041923522949, 0.6453734040260315, 1.0808793008274313, 1729888469854455082, 
0.8834370374679565, 0.6778733134269714, 1.0919269798968834, 1729888469973798636, 
0.8944634795188904, 0.6992993354797363, 1.098980832274761, 1729888470053587250, 
0.9095616340637207, 0.729197084903717, 1.105864666534383, 1729888470163476694, 
0.921888530254364, 0.7539829015731812, 1.1133290541007983, 1729888470255562915, 
0.9375864267349243, 0.786683976650238, 1.1214330667719759, 1729888470373689223, 
0.9499620795249939, 0.812456488609314, 1.1272726084582343, 1729888470467432956, 
0.9621968269348145, 0.8388106226921082, 1.1330736114532958, 1729888470563496919, 
0.9739100337028503, 0.863857090473175, 1.1375565743650873, 1729888470655340830, 
0.9868069291114807, 0.8912216424942017, 1.1389858410419333, 1729888470753061171, 
1.0007479190826416, 0.9218221306800842, 1.1441174379990888, 1729888470863051225, 
1.0134140253067017, 0.9498950242996216, 1.1523528662925622, 1729888470963466320, 
1.0241601467132568, 0.9749523401260376, 1.1561251019444219, 1729888471054569469, 
1.0389893054962158, 1.0085152387619019, 1.158489353560468, 1729888471173677676, 
1.0504839420318604, 1.0351152420043945, 1.1620023861306767, 1729888471268458713, 
1.0616215467453003, 1.060401201248169, 1.167807409421323, 1729888471358446450, 
1.0733392238616943, 1.0880451202392578, 1.1717407682447554, 1729888471458323877, 
1.083998441696167, 1.1136713027954102, 1.1744857290791413, 1729888471548455464, 
1.0978695154190063, 1.1466253995895386, 1.178692643998193, 1729888471667692332, 
1.1088732481002808, 1.1738780736923218, 1.1835878159601814, 1729888471763528594, 
1.1192575693130493, 1.198907732963562, 1.1867554791391381, 1729888471854525517, 
1.1310334205627441, 1.2272469997406006, 1.1867554791391381, 1729888471952858423, 
1.1431962251663208, 1.2581454515457153, 1.1864447877661644, 1729888472063296655, 
1.1547225713729858, 1.2864407300949097, 1.1917122211211315, 1729888472163468086, 
1.1649044752120972, 1.3122518062591553, 1.1932244590279, 1729888472254337061, 
1.1760684251785278, 1.3404439687728882, 1.1959460008180989, 1729888472352978159, 
1.1882553100585938, 1.3715111017227173, 1.1993603606660768, 1729888472463403417, 
1.1990101337432861, 1.399586796760559, 1.2020711077689867, 1729888472563749499, 
1.2088676691055298, 1.4253088235855103, 1.2030787981737263, 1729888472653678724, 
1.221758484840393, 1.4584916830062866, 1.2036606899486972, 1729888472770357471, 
1.2320713996887207, 1.4853342771530151, 1.2051612854116414, 1729888472862836709, 
1.2426478862762451, 1.5135854482650757, 1.2100698282327875, 1729888472964127938, 
1.2524588108062744, 1.539394497871399, 1.2128363232153014, 1729888473053959987, 
1.2644866704940796, 1.572372555732727, 1.215310162481973, 1729888473170142489, 
1.2744462490081787, 1.5991442203521729, 1.2182197643522839, 1729888473262656109, 
1.2846311330795288, 1.6273853778839111, 1.219401343800818, 1729888473360700394, 
1.294311285018921, 1.6539255380630493, 1.2194794195744485, 1729888473453881161, 
1.306465744972229, 1.6869839429855347, 1.219905917928388, 1729888473570128428, 
1.3164234161376953, 1.7141625881195068, 1.22189903217172, 1729888473664254899, 
1.3265810012817383, 1.7419004440307617, 1.2258776069745292, 1729888473761348684, 
1.335949182510376, 1.7684412002563477, 1.2263384358187666, 1729888473854482560, 
1.3482630252838135, 1.8022799491882324, 1.226216245257848, 1729888473971824502, 
1.3578442335128784, 1.8286713361740112, 1.2282395145378253, 1729888474063754666, 
1.3680602312088013, 1.8570040464401245, 1.2282495451738165, 1729888474162496769, 
1.3776100873947144, 1.8831971883773804, 1.2280935882258668, 1729888474254503486, 
1.3894445896148682, 1.9166324138641357, 1.226836398825121, 1729888474372334122, 
1.3990927934646606, 1.9437798261642456, 1.2284124348277359, 1729888474465548394, 
1.4088373184204102, 1.97190260887146, 1.2330809198029622, 1729888474563494512, 
1.4181241989135742, 1.9980593919754028, 1.2353678360000597, 1729888474654435236, 
1.4276870489120483, 2.0256237983703613, 1.233677918712304, 1729888474754212084, 
1.4372003078460693, 2.053218126296997, 1.234634107798778, 1729888474864509514, 
1.444761872291565, 2.0747504234313965, 1.2356379316204413, 1729888474964494669, 
1.4507462978363037, 2.091900587081909, 1.2369809125552267, 1729888475054475713, 
1.4567195177078247, 2.1092946529388428, 1.238456032614045, 1729888475154442366, 
1.462140440940857, 2.1246352195739746, 1.240209829151815, 1729888475264545090, 
1.4663559198379517, 2.136610746383667, 1.2408835164976624, 1729888475364425555, 
1.46924889087677, 2.145169734954834, 1.2440191003385122, 1729888475453580783, 
1.4721168279647827, 2.1532485485076904, 1.2493799079470844, 1729888475554286907, 
1.4748362302780151, 2.161628007888794, 1.2537677082854588, 1729888475664783038, 
1.4769537448883057, 2.168832302093506, 1.2572690987939574, 1729888475764495471, 
1.4789142608642578, 2.1743040084838867, 1.2601651051301885, 1729888475854548918, 
1.4812064170837402, 2.1812896728515625, 1.2685541874592405, 1729888475974576486, 
1.482715368270874, 2.1863465309143066, 1.2723382634154905, 1729888476064660622, 
1.484342336654663, 2.1917929649353027, 1.2768664443279916, 1729888476164428311, 
1.4858900308609009, 2.1967532634735107, 1.2802713638706016, 1729888476254527021, 
1.4873785972595215, 2.2019128799438477, 1.28240627703041, 1729888476354015846, 
1.4887759685516357, 2.206913471221924, 1.2854329215337543, 1729888476464327088, 
1.490297794342041, 2.211266279220581, 1.2881104181273817, 1729888476564480852, 
1.4910576343536377, 2.214719533920288, 1.289937804712625, 1729888476654566712, 
1.4923815727233887, 2.2189743518829346, 1.2917943010241513, 1729888476773713498, 
1.493252158164978, 2.2215969562530518, 1.2946911663136618, 1729888476864562652, 
1.49404776096344, 2.224714517593384, 1.2984599085506945, 1729888476964483361, 
1.4948092699050903, 2.227491617202759, 1.3004741644060844, 1729888477055492487, 
1.4957300424575806, 2.230891704559326, 1.302783368969815, 1729888477154171292, 
1.4967442750930786, 2.2347371578216553, 1.3105956302550403, 1729888477263829752, 
1.4977535009384155, 2.2381742000579834, 1.3181119205112097, 1729888477364493907, 
1.498600959777832, 2.2415740489959717, 1.3223673237542801, 1729888477455536393, 
