x, y, th, stamp, 
1.3457131385803223, 2.447265863418579, 2.2268212780792638, 1728071361406239557, 
1.3457131385803223, 2.447265863418579, 2.2268212780792638, 1728071361447539874, 
1.3457131385803223, 2.447265863418579, 2.2268212780792638, 1728071361496263087, 
1.3457672595977783, 2.4475159645080566, 2.2290686514286238, 1728071361546663714, 
1.3456307649612427, 2.4475653171539307, 2.25775765376271, 1728071361596114975, 
1.3448158502578735, 2.447479009628296, 2.3210725748558647, 1728071361656223393, 
1.344294786453247, 2.447850465774536, 2.3940797545372887, 1728071361706300696, 
1.3432397842407227, 2.448284864425659, 2.482352497258915, 1728071361756273535, 
1.3419828414916992, 2.4495606422424316, 2.5829169353617853, 1728071361806277804, 
1.3403736352920532, 2.450223207473755, 2.6731392539228347, 1728071361851884713, 
1.3383415937423706, 2.4507205486297607, 2.773025724263679, 1728071361901499430, 
1.3363895416259766, 2.451962471008301, 2.8536755887827483, 1728071361942750724, 
1.3340381383895874, 2.452730417251587, 2.949084046875907, 1728071361992776817, 
1.3302477598190308, 2.4524550437927246, 3.079658274705907, 1728071362060219662, 
1.3275372982025146, 2.4523720741271973, -3.1224710940838576, 1728071362102286859, 
1.3244260549545288, 2.4516184329986572, -3.0288293396360615, 1728071362152475718, 
1.3213642835617065, 2.450641393661499, -2.932974317927472, 1728071362203215786, 
1.3179887533187866, 2.449340343475342, -2.8423328572556525, 1728071362250749740, 
1.3139088153839111, 2.447826862335205, -2.745297381189148, 1728071362300202064, 
1.3107906579971313, 2.446392774581909, -2.66357752222557, 1728071362342512273, 
1.3067216873168945, 2.443838357925415, -2.5654358651730096, 1728071362392787548, 
1.302602767944336, 2.441519260406494, -2.468962067341596, 1728071362443595262, 
1.2988598346710205, 2.4383251667022705, -2.380940463403968, 1728071362490243631, 
1.2941149473190308, 2.433497667312622, -2.261267151669034, 1728071362552803552, 
1.2905924320220947, 2.4294004440307617, -2.1660248654582266, 1728071362603213209, 
1.2877192497253418, 2.4246418476104736, -2.0744934449086294, 1728071362650495220, 
1.285016655921936, 2.418968677520752, -1.9766827223218162, 1728071362700263673, 
1.283164381980896, 2.4141006469726562, -1.895468678619465, 1728071362742233996, 
1.281583547592163, 2.407745838165283, -1.8010023210039958, 1728071362792787224, 
1.2806895971298218, 2.3983163833618164, -1.6742829148081948, 1728071362860199777, 
1.2802642583847046, 2.394228219985962, -1.6178246029120544, 1728071362890221693, 
1.281240463256836, 2.385275363922119, -1.5006028638096567, 1728071362952219531, 
1.2813462018966675, 2.3779518604278564, -1.4021778079328666, 1728071363003579323, 
1.2831414937973022, 2.371281623840332, -1.3150222606819801, 1728071363050537996, 
1.285414695739746, 2.364361047744751, -1.220553639115403, 1728071363100278450, 
1.2880237102508545, 2.358247995376587, -1.1392838686374258, 1728071363142768313, 
1.2918199300765991, 2.351212501525879, -1.0407761089898508, 1728071363192868547, 
1.2960615158081055, 2.343825578689575, -0.9435830254435889, 1728071363243388984, 
1.3012609481811523, 2.3374788761138916, -0.8559231434087288, 1728071363290538600, 
1.3093246221542358, 2.330181837081909, -0.7372689397839396, 1728071363352501822, 
1.316461443901062, 2.324453353881836, -0.6394456265560491, 1728071363403212656, 
1.32391357421875, 2.3201534748077393, -0.5489732180428852, 1728071363450225478, 
1.332145094871521, 2.3157076835632324, -0.45400219366494876, 1728071363500251090, 
1.3395347595214844, 2.313006639480591, -0.37608081341123845, 1728071363542221665, 
1.3486427068710327, 2.309697151184082, -0.2804111840476109, 1728071363592789948, 
1.3585437536239624, 2.3069159984588623, -0.18268262909071462, 1728071363643597424, 
1.3683931827545166, 2.3053925037384033, -0.09398614985274137, 1728071363690252406, 
1.3812599182128906, 2.304783821105957, 0.020847176192667547, 1728071363752261462, 
1.3917275667190552, 2.3052825927734375, 0.115383964311197, 1728071363803216374, 
1.40178644657135, 2.3066518306732178, 0.2035029218199147, 1728071363850486044, 
1.4125640392303467, 2.30914306640625, 0.29993589132588444, 1728071363900196804, 
1.4213652610778809, 2.311959743499756, 0.38010537143403, 1728071363942250583, 
1.4322426319122314, 2.31626033782959, 0.47338002235677545, 1728071363993790441, 
1.4428255558013916, 2.322356700897217, 0.5614096257790256, 1728071364043672622, 
1.454350471496582, 2.330571174621582, 0.6667025482523272, 1728071364102051171, 
