x, y, th, stamp, 
-0.8607469797134399, 3.2961063385009766, -1.1321666672819906, 1728071321241727713, 
-0.8607469797134399, 3.2961063385009766, -1.1321666672819906, 1728071321305471226, 
-0.8607469797134399, 3.2961063385009766, -1.132166695116737, 1728071321356466150, 
-0.8607469797134399, 3.2961063385009766, -1.1321665397944256, 1728071321401574623, 
-0.8607469797134399, 3.2961063385009766, -1.1321665397944256, 1728071321444578448, 
-0.8607469797134399, 3.2961063385009766, -1.1321663000313689, 1728071321494575608, 
-0.8607469797134399, 3.2961063385009766, -1.1321658788508024, 1728071321544561854, 
-0.8607469797134399, 3.2961063385009766, -1.1321656992827942, 1728071321595369465, 
-0.8607469797134399, 3.2961063385009766, -1.1321653294704335, 1728071321654665668, 
-0.8607469797134399, 3.2961063385009766, -1.1321651709694842, 1728071321704628227, 
-0.8607469797134399, 3.2961063385009766, -1.1321652471785457, 1728071321755591307, 
-0.8607469797134399, 3.2961063385009766, -1.1321648783607632, 1728071321801576551, 
-0.8607469797134399, 3.2961063385009766, -1.1321648783607632, 1728071321844480496, 
-0.8607469797134399, 3.2961063385009766, -1.1321649917418648, 1728071321894579007, 
-0.8607469797134399, 3.2961063385009766, -1.1321649917418648, 1728071321944571608, 
-0.8607469797134399, 3.2961063385009766, -1.1321649543964267, 1728071321995492232, 
-0.8607469797134399, 3.2961063385009766, -1.1321649760422725, 1728071322054395729, 
-0.8607469797134399, 3.2961063385009766, -1.1321649760422725, 1728071322104580888, 
-0.8607469797134399, 3.2961063385009766, -1.132165004689648, 1728071322155625836, 
-0.8607469797134399, 3.2961063385009766, -1.1321654398575467, 1728071322201576193, 
-0.8607469797134399, 3.2961063385009766, -1.1321654398575467, 1728071322244581715, 
-0.8607469797134399, 3.2961063385009766, -1.132165271192412, 1728071322294583930, 
-0.8607469797134399, 3.2961063385009766, -1.132165271192412, 1728071322344556718, 
-0.8607469797134399, 3.2961063385009766, -1.1321658526396525, 1728071322395429542, 
-0.8607469797134399, 3.2961063385009766, -1.1321658134489598, 1728071322454575926, 
