x, y, theta, stamp, 
-0.012611521407961845, 0.0030093383975327015, -0.03938903513859593, 1729886473798197491, 
-0.012611521407961845, 0.0030093383975327015, -0.03938904377474715, 1729886473889554611, 
-0.012611521407961845, 0.0030093383975327015, -0.03938904517587223, 1729886473940557799, 
-0.012611521407961845, 0.0030093383975327015, -0.03938904552830949, 1729886473989675370, 
-0.012611521407961845, 0.0030093383975327015, -0.03938905505473107, 1729886474038077222, 
-0.012399042025208473, 0.002986363135278225, -0.040668653822459135, 1729886474088434490, 
-0.0107197230681777, 0.002794458996504545, -0.053518958314934036, 1729886474129304025, 
-0.007007134612649679, 0.002503323135897517, -0.07684443178473614, 1729886474177940324, 
0.00010309740900993347, 0.0018660699715837836, -0.11409163799283555, 1729886474244497305, 
0.006762304343283176, 0.0008618099382147193, -0.15237626609835728, 1729886474292670327, 
0.014421675354242325, -0.0006813597865402699, -0.20067543073559818, 1729886474343490306, 
0.022854965180158615, -0.002574524376541376, -0.25968318697250503, 1729886474393687335, 
0.04149627685546875, -0.009105738252401352, -0.37552564473504074, 1729886474483172717, 
0.06641019135713577, -0.0216276403516531, -0.5519457672917016, 1729886474593989142, 
0.08731234818696976, -0.03722668066620827, -0.711670153679983, 1729886474693544260, 
0.10529323667287827, -0.05484696850180626, -0.8741797784004848, 1729886474795510106, 
0.12114541232585907, -0.0777406096458435, -1.0492625349819478, 1729886474903553052, 
0.1308702528476715, -0.09745614975690842, -1.1944947441229545, 1729886474993810494, 
0.1371297836303711, -0.11717373132705688, -1.3243398485675468, 1729886475092654334, 
0.1412310004234314, -0.1419387012720108, -1.458197552271936, 1729886475189579060, 
0.14239034056663513, -0.16733857989311218, -1.592474095492116, 1729886475282631985, 
0.13946019113063812, -0.19677087664604187, -1.7354926434104545, 1729886475394120083, 
0.13315631449222565, -0.22568246722221375, -1.861133927387789, 1729886475493577812, 
0.12438372522592545, -0.2529868185520172, -1.9641330585622072, 1729886475589660675, 
0.11287002265453339, -0.2786913812160492, -2.0543569792380563, 1729886475684612433, 
0.09641267359256744, -0.3072925806045532, -2.1682438157654307, 1729886475794411609, 
0.07919438928365707, -0.3308402895927429, -2.26820465259232, 1729886475893661705, 
0.05980661138892174, -0.352107435464859, -2.3457988414198714, 1729886475991530900, 
0.04055914282798767, -0.3706081807613373, -2.409084636127702, 1729886476084563452, 
0.01758383959531784, -0.38981497287750244, -2.4789335619445243, 1729886476185776500, 
-0.008294005878269672, -0.40846163034439087, -2.5255799954705562, 1729886476293781922, 
-0.031791236251592636, -0.4238840937614441, -2.5618317082798687, 1729886476391101166, 
-0.059680163860321045, -0.44079896807670593, -2.6054043531165987, 1729886476501540025, 
-0.08390889316797256, -0.45432913303375244, -2.635234832630245, 1729886476593897750, 
-0.11055145412683487, -0.46828293800354004, -2.652590284830537, 1729886476693999847, 
