e, e_dot, e_int, stamp, 
[-0.14627954], [0.03682957], [-0.02765176], 1731707918759324357, 
[-0.14040837], [0.03842947], [-0.03068681], 1731707918877129983, 
[-0.1351259], [0.03717881], [-0.02942546], 1731707918968602411, 
[-0.13043654], [0.03323942], [-0.02424965], 1731707919056327485, 
[-0.12693914], [0.0272892], [-0.02727387], 1731707919177064310, 
[-0.12261311], [0.02607811], [-0.0265686], 1731707919266085798, 
[-0.11840045], [0.02846228], [-0.02181112], 1731707919354895216, 
[-0.11331031], [0.03100932], [-0.02476978], 1731707919475807324, 
[-0.108345], [0.03351819], [-0.02390836], 1731707919565816725, 
[-0.10502722], [0.02761032], [-0.01972915], 1731707919656984616, 
[-0.10078324], [0.02520587], [-0.02194757], 1731707919775403110, 
[-0.09700771], [0.02673169], [-0.02102976], 1731707919865325050, 
[-0.09272372], [0.02686506], [-0.01741413], 1731707919955230145, 
[-0.08731455], [0.03231054], [-0.01936216], 1731707920074988760, 
[-0.08229384], [0.03476627], [-0.01846992], 1731707920166450075, 
[-0.07773975], [0.03191601], [-0.0148244], 1731707920254788826, 
[-0.07243258], [0.03287084], [-0.01629247], 1731707920376706038, 
[-0.06823336], [0.03168795], [-0.01526827], 1731707920464512337, 
[-0.06449609], [0.02645498], [-0.01216385], 1731707920554572983, 
[-0.06094424], [0.02429708], [-0.01354094], 1731707920674261044, 
[-0.05772471], [0.02257127], [-0.01279347], 1731707920764112948, 
[-0.05372177], [0.02407489], [-0.0105104], 1731707920857166548, 
[-0.05062625], [0.02366152], [-0.01132775], 1731707920973791961, 
[-0.04780939], [0.01970793], [-0.01054339], 1731707921065044463, 
[-0.04508644], [0.01846604], [-0.00859829], 1731707921153519473, 
[-0.04280975], [0.01666549], [-0.00942424], 1731707921273383196, 
[-0.0400211], [0.01688446], [-0.00894772], 1731707921363367337, 
[-0.03755812], [0.01750543], [-0.00721435], 1731707921453159244, 
[-0.03507282], [0.01649428], [-0.00794804], 1731707921575029022, 
[-0.03274542], [0.01604232], [-0.00736603], 1731707921662865542, 
[-0.02964604], [0.01808927], [-0.00577698], 1731707921752847418, 
[-0.02644907], [0.02098785], [-0.0052953], 1731707921841679137, 
[-0.02470238], [0.01647885], [-0.00483821], 1731707921932489670, 
[-0.02351448], [0.00978195], [-0.00524801], 1731707922052538653, 
[-0.02447948], [0.000743], [-0.00534315], 1731707922152988255, 
