imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.006181478500366211, -0.007135629653930664, -0.004118701306785026, 3.4575997404828875e-15, -6.853080377346136e-05, -5.045322030531688e-11, 6.853080377346133e-06, 0.0, 1731707909.649358, 
-0.006132960319519043, 0.00018614530563354492, -0.005371632022478376, 1.6202843485486126e-12, -0.0002016109115175258, -8.036689762239198e-09, 2.0161091150813418e-05, 1.080023281265595e-15, 1731707909.709071, 
-0.011506497859954834, -0.00502622127532959, -0.009159411496343276, -2.1584065778429439e-10, -0.00034578809398836015, 6.241992177774634e-07, 3.4578813437314854e-05, -3.2592059210958364e-13, 1731707909.7390394, 
-0.009674549102783203, 0.0023022890090942383, -0.00946438568337606, 1.23324260290377e-10, -0.00048582657973924844, -2.538442016831752e-07, 4.8582805721103535e-05, 3.827952250708847e-13, 1731707909.7691224, 
0.0030521750450134277, 0.005028963088989258, -0.0016437613443866413, -7.945240487157576e-05, 0.0039336781880785696, -0.02019799309266445, 0.00030882920622199553, 3.0969179822059556e-08, 1731707909.8000228, 
1.2534714937210083, -0.168384850025177, 0.7743371572374482, -0.008938378023547204, 0.05817688131976824, -0.15364140910918825, 0.0019169528863254353, -3.1905625060749782e-06, 1731707909.8589334, 
1.0359845161437988, 0.2453022599220276, 0.9352277054051886, -0.024301792223837097, 0.09554258355736797, -0.2543556110689139, 0.004824779242436486, -6.390199832689282e-05, 1731707909.947673, 
0.8756219744682312, -0.1993458867073059, 0.8982611863410258, -0.060861844102568466, 0.1796218308100887, -0.33883322438082, 0.013880517344831513, -0.0003914648359763626, 1731707910.0718231, 
0.9131220579147339, -0.7062535285949707, 0.9089502829567462, -0.23170322607356733, 0.35638912452174876, -0.6501411242121884, 0.036753546771335216, -0.0019409298343935207, 1731707910.1583974, 
0.4508853554725647, -0.42567533254623413, 0.6250593561832825, -0.33066647683725425, 0.38574804985074507, -0.8572084213133335, 0.06896452945678033, -0.00600209319022181, 1731707910.2807345, 
-0.04882979393005371, -0.7590976357460022, 0.21002114199881822, -0.48197414297304275, 0.5061858339270021, -0.9521683750686493, 0.11027832628814424, -0.014080900749838927, 1731707910.368114, 
-0.5251969695091248, -0.0608096718788147, -0.24846700673334804, -0.25713251748499855, 0.28617366586539855, -0.8985191446858724, 0.14964672667689868, -0.0259841925344059, 1731707910.4580219, 
0.12535297870635986, -0.14714759588241577, -0.01772792868546577, -0.22479288311845425, 0.2581148229505226, -0.8709026492505788, 0.1759533539911844, -0.036472749213412994, 1731707910.5780451, 
0.1966615915298462, -0.30644166469573975, 0.11569074822091813, -0.2813799769594863, 0.31032469359466847, -0.9067276396863589, 0.20047898157604785, -0.048847699855404464, 1731707910.6678178, 
0.09482651948928833, -0.05080598592758179, 0.10125553965234271, -0.20274417491022886, 0.24099899098129463, -0.8412656587676961, 0.22441789561140488, -0.0637660827029667, 1731707910.7603457, 
0.018685996532440186, -0.4029389023780823, 0.052171063351885455, -0.2934106701072191, 0.3524528685750339, -0.8324820033199836, 0.24719253295802265, -0.08061601261066974, 1731707910.8774629, 
0.4240873456001282, -0.19607120752334595, 0.2811805317083611, -0.24999997699160043, 0.3251157550750451, -0.7689568194992396, 0.27253771919712677, -0.10312224410202268, 1731707910.968153, 
-0.2778446674346924, -0.6977471113204956, -0.061567171755788075, -0.3762059002544566, 0.4839772975467172, -0.7773213788362507, 0.2994117807857732, -0.13077283299783876, 1731707911.0572226, 
0.24548006057739258, 0.3579893112182617, 0.12294866782363026, -0.12310673456214308, 0.2087838515513683, -0.5896372427627834, 0.3232463951894301, -0.15994688361446674, 1731707911.177099, 
0.17212218046188354, 0.370702862739563, 0.1517774991094701, -0.0786684107561676, 0.13861312995041924, -0.5675393866678188, 0.3332336884542109, -0.1741391348583765, 1731707911.2671866, 
0.18987822532653809, -0.748620867729187, 0.18044777735308917, -0.2764420067438441, 0.43728001233348873, -0.6321853250704207, 0.3478492689381645, -0.19675450392054658, 1731707911.3570106, 
-0.4344673156738281, -0.5454562902450562, -0.198880657909262, -0.31288462636259506, 0.476002521628355, -0.6573171614558876, 0.3697596962761078, -0.23655792969941733, 1731707911.4482965, 
-0.29859691858291626, -0.642329216003418, -0.25943766412703806, -0.34839965884106056, 0.5118492681027754, -0.6806684712717115, 0.3911401798909285, -0.28210522045271014, 1731707911.558684, 
0.19973301887512207, -0.04394400119781494, 0.021597354677358682, -0.2007805816448023, 0.35191827998974334, -0.5705318338412374, 0.40735414214576005, -0.32402787867297983, 1731707911.656881, 
0.27710390090942383, -0.45277106761932373, 0.18071085807243858, -0.2574450837417456, 0.42669403064592454, -0.6033482196880705, 0.4189344226007835, -0.3602894018541195, 1731707911.7768326, 
-0.13051247596740723, -0.924893856048584, -0.008996366324633742, -0.40889999741440114, 0.5792972152634634, -0.7058552788458237, 0.4311227595524837, -0.40774837919434637, 1731707911.8666818, 
-0.07226663827896118, -0.2006588578224182, -0.05070297258796962, -0.24765887169015935, 0.4362448921842702, -0.5677060663109106, 0.4406848914642733, -0.4588466327953847, 1731707911.9560976, 
-0.04334074258804321, 0.12391149997711182, -0.04852361125235109, -0.14424260642974907, 0.3050604217051788, -0.47283290839068676, 0.4452457664618557, -0.49700025452575464, 1731707912.0759919, 
-0.11230975389480591, 0.019074082374572754, -0.08796770110730409, -0.13769661412403128, 0.29743618427314933, -0.46294506655443823, 0.447329786566819, -0.5274669712365796, 1731707912.1681404, 
-0.1460602879524231, -0.3644758462905884, -0.12225205592127836, -0.19425725750666792, 0.3770158896504888, -0.5152495235326908, 0.448114776238227, -0.5615545848854213, 1731707912.2555919, 
0.006969749927520752, -0.2945762276649475, -0.0418946013449607, -0.20105535711752182, 0.3969412943927371, -0.506511567220809, 0.4470789363370908, -0.6008180500653549, 1731707912.3764071, 
-0.11137193441390991, 0.25258374214172363, -0.08698842243151138, -0.10575330410786263, 0.27229462376572233, -0.3883782303349881, 0.44439483975996963, -0.6348647614384816, 1731707912.4653592, 
0.47807151079177856, -0.41903382539749146, 0.2641072081567714, -0.18030265744116147, 0.3838208899696316, -0.46975728042167597, 0.44045707434171155, -0.6668629770913017, 1731707912.5551805, 
0.11073285341262817, 0.23082447052001953, 0.16719501900629752, -0.11001460694732686, 0.28615628907471635, -0.3844563657959713, 0.4350788982924467, -0.6986866785454391, 1731707912.6476643, 
0.32649505138397217, -0.1966959834098816, 0.26640362990320415, -0.1527444623540668, 0.34926000757319753, -0.43733739632945173, 0.42872905362510044, -0.7286134198265528, 1731707912.7649193, 
0.11251449584960938, -0.5411773324012756, 0.17270477720234836, -0.22738727389138907, 0.45053286348758353, -0.504707408314634, 0.4191268026326216, -0.7663580558809953, 1731707912.8570905, 
0.4658908247947693, 0.26404422521591187, 0.35074255020830725, -0.10860209174983253, 0.29967907636394586, -0.362394642520656, 0.4084932207560658, -0.8008791315484526, 1731707912.9745972, 
-0.25090616941452026, -0.6185135841369629, -0.018802577110053675, -0.20693742460085598, 0.44324207579397296, -0.4668722486017873, 0.3965443556551276, -0.8348439652022694, 1731707913.0645576, 
0.1473788022994995, -0.4797021746635437, 0.08431030178973874, -0.23933919187414152, 0.4687772614644533, -0.510560582922579, 0.3796130675427725, -0.876931060152224, 1731707913.1544356, 
0.17126506567001343, 0.09444296360015869, 0.13575647457890577, -0.13767870769060062, 0.35270898196239053, -0.39034647466188244, 0.3626182413749774, -0.9139032380903084, 1731707913.27421, 
-0.4800540804862976, 0.25023603439331055, -0.2460626396098507, -0.0955899106547067, 0.27988254905955356, -0.3415358012705788, 0.34800221027022343, -0.9422522338906485, 1731707913.3641372, 
0.04265803098678589, -0.6059821844100952, -0.06498075091147323, -0.19337375940688797, 0.41184984569506844, -0.46952490435084665, 0.3306720516400611, -0.9731168251446384, 1731707913.45396, 
0.13627207279205322, -0.5015211701393127, 0.060368676596978754, -0.2331029851222188, 0.46663230378587056, -0.4995431804249577, 0.30748760368428263, -1.010728153025721, 1731707913.576434, 
0.1770227551460266, -0.3447278141975403, 0.1319151243544528, -0.2149768144938529, 0.4453392598853824, -0.48272594369780414, 0.2819528324051618, -1.0478848817894884, 1731707913.662666, 
0.19785451889038086, -0.2536161541938782, 0.17192937450609896, -0.1897629104115011, 0.4196820996403871, -0.45215869481710846, 0.25616012199483296, -1.08173250650693, 1731707913.7535534, 
-0.3025081753730774, -0.047859132289886475, -0.12237113422627205, -0.14847128582602312, 0.36256769069672184, -0.4094994938482132, 0.23111812598914355, -1.1115977001657504, 1731707913.873371, 
-0.10403674840927124, -0.28669679164886475, -0.11031175468088983, -0.1646424992097474, 0.3919966502442145, -0.42000996464427665, 0.2052281914305634, -1.1399783384250382, 1731707913.9632735, 
0.1813446283340454, 0.7219418883323669, 0.0663778464470316, -0.04857396183724085, 0.19038703365560494, -0.25513272046197905, 0.18455234104005902, -1.160698409393985, 1731707914.0556622, 
-0.2660570740699768, -0.30443108081817627, -0.13655062770654636, -0.11508176577922719, 0.3289332167499148, -0.34986361947970396, 0.16549048096826663, -1.1787592928800787, 1731707914.172981, 
0.04939955472946167, 0.40118950605392456, -0.022974584526149977, -0.07285018583888365, 0.2436181928859353, -0.2990342592065483, 0.14398167120176553, -1.1977585237073358, 1731707914.2645135, 
0.017860770225524902, 0.14169996976852417, 0.002982951505534112, -0.0905143701390502, 0.28373189461118525, -0.31901373042000597, 0.12349479440665508, -1.2147876196668899, 1731707914.3527844, 
0.13630419969558716, -0.11736440658569336, 0.08614386197749585, -0.1317219707631964, 0.3311316958702337, -0.39779330219966785, 0.09931953235574449, -1.2335614376735191, 1731707914.4726176, 
-0.40587931871414185, -0.854514479637146, -0.21487879503144725, -0.26208902263396655, 0.4999752202518405, -0.5242040245553584, 0.06476487200448254, -1.2586059886771317, 1731707914.5624766, 
0.3365010619163513, 0.2622414827346802, 0.1225614344455378, -0.10665046577250875, 0.3076154082305301, -0.3467006623172264, 0.031058685434061373, -1.2806025080067591, 1731707914.6523583, 
-0.46105629205703735, -0.7087351083755493, -0.23557690136798315, -0.21212362444788732, 0.44251945112361324, -0.47935435133818055, -0.0010597370222292807, -1.2997276887846942, 1731707914.7722373, 
-0.06906849145889282, 0.06840717792510986, -0.1342542287408861, -0.12674913900745965, 0.33535760382123514, -0.37795218466262726, -0.03615759246719334, -1.31867873222758, 1731707914.8620718, 
0.40131109952926636, 0.040298283100128174, 0.19636494389185538, -0.11991880787553495, 0.3165614832090635, -0.37881679937776314, -0.06535950206208108, -1.3327953580370626, 1731707914.9527898, 
-0.35963231325149536, -0.313119113445282, -0.14597771653214203, -0.16624888932924853, 0.3917333254891371, -0.4243930207409905, -0.09767647519470278, -1.3470649121612506, 1731707915.0719626, 
0.2730644941329956, 0.10136842727661133, 0.11171579173952118, -0.11722487389536625, 0.31703343857979455, -0.3697555514033318, -0.13068502054440861, -1.3599727441319402, 1731707915.1616325, 
0.0813024640083313, -0.5846405029296875, 0.09494679695087851, -0.20832749786813048, 0.44059891824265834, -0.4728279830986667, -0.16602775850761886, -1.3722746810411297, 1731707915.2814896, 
0.49477022886276245, -0.08073168992996216, 0.34064600211255014, -0.15905628983412617, 0.3827855753415067, -0.41552320693438416, -0.20431171951667626, -1.3837377031299005, 1731707915.371961, 
-0.21660876274108887, -0.463509202003479, -0.002961157419749838, -0.21284472618042108, 0.443350662531901, -0.48008212047073684, -0.24326245429243537, -1.3935780456184825, 1731707915.4649096, 
-0.034802913665771484, -0.3813026547431946, -0.02263752679873122, -0.21631637865717232, 0.4420036825793499, -0.48939949412828365, -0.28662871540850315, -1.4024791628353332, 1731707915.5510907, 
0.22003275156021118, 0.33038341999053955, 0.12429334444689323, -0.09801381992759252, 0.2781680846225223, -0.3523546565760718, -0.3221867228291305, -1.4079403943639797, 1731707915.6716585, 
-0.15776598453521729, -0.2445509433746338, -0.048676988855573186, -0.13923963752791105, 0.3575341181931755, -0.3894443367574782, -0.3535547781797644, -1.4115408992341305, 1731707915.7608373, 
-0.1255803108215332, -0.5971865057945251, -0.09447326385666549, -0.24604313393152272, 0.446331851887632, -0.5512560506066375, -0.3936752207080844, -1.4144702486643093, 1731707915.8497686, 
-0.12333470582962036, -0.29366230964660645, -0.1127791237720737, -0.21769976070461503, 0.40957429913674764, -0.5315269077270153, -0.43691185295606444, -1.4156417197499158, 1731707915.9705832, 
-0.6862980723381042, -0.4649748206138611, -0.46638417364351886, -0.25614615918452016, 0.42664410191692725, -0.6003743120639575, -0.47974521700978884, -1.4144852559689831, 1731707916.0604215, 
-0.28889918327331543, -0.5634270310401917, -0.35569781665352596, -0.2812107198534827, 0.4401249388479651, -0.6389338458973872, -0.5248826007534436, -1.4107326192647753, 1731707916.1803427, 
-0.1714259386062622, -0.505930483341217, -0.2413542380549466, -0.2761464136602911, 0.4358638082073325, -0.6335612373875585, -0.5698038370975878, -1.4042085301080824, 1731707916.2701724, 
-0.5511771440505981, -0.05598348379135132, -0.43472182573617224, -0.17112310110176598, 0.30002304235846633, -0.5703665283725401, -0.6079159908698133, -1.39606855470078, 1731707916.3611233, 
-0.2953140139579773, -0.04008251428604126, -0.3487203413483736, -0.1317735466249243, 0.2540121168444541, -0.5187687432470658, -0.6369663178691777, -1.3881148295970636, 1731707916.4499254, 
0.0026749372482299805, -0.24142825603485107, -0.1307195553953801, -0.1462365138677791, 0.27555744946570915, -0.5306933786450837, -0.6632167914540268, -1.3793549805668874, 1731707916.5397615, 
-0.20218199491500854, 0.1500164270401001, -0.17634262449199803, -0.0823250627295979, 0.18009249319730697, -0.45712656462256673, -0.6853786959144036, -1.3705819788568678, 1731707916.658681, 
0.22779035568237305, 0.33574050664901733, 0.07214713807862969, -0.04157580458099171, 0.10409589574424132, -0.3993990760513891, -0.6987830475942246, -1.3644491979257163, 1731707916.7794626, 
-0.7380170226097107, -0.11152338981628418, -0.4269554245753897, -0.07553086176767394, 0.17737259332036176, -0.42583163697253823, -0.7121748466892641, -1.3578314433086207, 1731707916.8728342, 
0.057824552059173584, -0.06195122003555298, -0.12694089137376552, -0.071558634928229, 0.17255362103737015, -0.4147037570004483, -0.7288804031084429, -1.3485355207769656, 1731707916.952469, 
-0.4948185682296753, -0.19439125061035156, -0.3534032815024478, -0.07861079218434858, 0.20023226436232447, -0.39259802826831497, -0.7460208176816308, -1.3381222178649321, 1731707917.0491269, 
-0.21025210618972778, -0.08925312757492065, -0.2646533446031286, -0.06807111235536688, 0.1853946127412956, -0.36716877232217665, -0.7634840090544257, -1.326455506801625, 1731707917.1689124, 
0.03338581323623657, -0.21386033296585083, -0.07972324487177929, -0.07274415869667233, 0.21012900499758905, -0.34618808906227383, -0.7804900337354255, -1.3141706068596632, 1731707917.2577944, 
-0.26555198431015015, -0.0721900463104248, -0.19464136902537443, -0.06286619107734645, 0.19276689373265193, -0.32612545577735697, -0.7969059907240263, -1.301355760440218, 1731707917.3512278, 
0.2093324065208435, 0.08337485790252686, 0.054576344190970655, -0.046092381505768255, 0.1600614682299245, -0.2879667543693754, -0.8107152265517292, -1.2897791598745643, 1731707917.4491038, 
-0.5165523290634155, -0.0030628442764282227, -0.29822742814964576, -0.04273757024079259, 0.15836128924735218, -0.2698738463415684, -0.8230867914571065, -1.278817127407915, 1731707917.5484207, 
0.0418124794960022, 0.13226711750030518, -0.08841535427892547, -0.028170987173749353, 0.11927784014998602, -0.23617955471297705, -0.8338925991301951, -1.2686374849524191, 1731707917.668358, 
0.1681346893310547, 0.01585322618484497, 0.0702949871066092, -0.02525315731058603, 0.1274789555668806, -0.19809667563001962, -0.8428554283507537, -1.2598010069021388, 1731707917.7581713, 
0.23822414875030518, 0.03249466419219971, 0.17399336959109726, -0.027961991648110165, 0.13447056443301156, -0.20794135702494082, -0.8515149721575846, -1.2508393138427034, 1731707917.84875, 
-0.07952016592025757, -0.00262528657913208, 0.017086732521953557, -0.025188114140934446, 0.13099380072409708, -0.19228477990333587, -0.8601220681426291, -1.241584901299516, 1731707917.9678497, 
-0.06170368194580078, -0.19097143411636353, -0.03136862241484269, -0.02873470773409771, 0.14426218676830244, -0.19918391906985397, -0.8693930807077217, -1.2312175197089867, 1731707918.0580244, 
0.059384942054748535, 0.07098150253295898, 0.02430987316777051, -0.020912483990071274, 0.12004582877589962, -0.1742041702182797, -0.8778869327139923, -1.2213157003963904, 1731707918.1575804, 
0.07567238807678223, 0.04145669937133789, 0.05587276273043393, -0.019105433682515657, 0.11350708482812905, -0.16831930545520446, -0.8851420929554872, -1.2125345774881457, 1731707918.281002, 
0.2360280156135559, -0.027074575424194336, 0.16712583130356262, -0.019963667470899126, 0.11938752371755085, -0.16721736785603772, -0.8920471510273518, -1.203879107129803, 1731707918.3674471, 
-0.09673154354095459, -0.25734061002731323, 0.004262062265082883, -0.024136835891961663, 0.14026928030592092, -0.1720749963165158, -0.8997649250251015, -1.1938919335758458, 1731707918.457399, 
-0.08088016510009766, -0.11130446195602417, -0.04850157713852891, -0.020615422027968157, 0.12978846029324123, -0.15883863620378977, -0.9078443069662581, -1.1830484979549272, 1731707918.5772233, 
-0.06216764450073242, -0.036807477474212646, -0.05717274227077062, -0.01657342634178284, 0.11139401556920207, -0.148782017212467, -0.9149648191889185, -1.1731480917717942, 1731707918.6672459, 
-0.22136998176574707, -0.13680708408355713, -0.1585475351496181, -0.016527134285342568, 0.10677390938078124, -0.1547862617486718, -0.9215253247276354, -1.1637361106551816, 1731707918.7593243, 
0.29816168546676636, -0.08768850564956665, 0.12368721529704613, -0.015085457072643322, 0.10329532545186507, -0.14604201116218996, -0.9274885231479785, -1.1548846736867162, 1731707918.87713, 
-0.10498243570327759, -0.3324663043022156, -0.017397238597280706, -0.01889236619017448, 0.12279288599338493, -0.15385554331862716, -0.9335816337076328, -1.1455638491347193, 1731707918.9686024, 
-0.16864299774169922, -0.1371176838874817, -0.11114328399850533, -0.014654760824552788, 0.10058039020373456, -0.14570196829489587, -0.9396108045701652, -1.1360093146147383, 1731707919.0563276, 
-0.08184051513671875, -0.24760758876800537, -0.09282826069401487, -0.013573688762611606, 0.10241262674857568, -0.1325392111651934, -0.9452515054636804, -1.1267963178821319, 1731707919.1770644, 
0.05463612079620361, 0.2541543245315552, -0.0024047132351275313, -0.006000487742035274, 0.05583162787056843, -0.10747470512494985, -0.9491897553601858, -1.12011689002006, 1731707919.2660859, 
0.18973445892333984, 0.08096319437026978, 0.11631195774488616, -0.005322361848341649, 0.059635073627521615, -0.08924885180128925, -0.9519471814493363, -1.115336035589416, 1731707919.354895, 
